text,label
@GoogleNewsIndia: Key India nuclear meet in Vienna - BBC News: Aljazeera.netKey India nuclear meet in ViennaBBC New.. http://tinyurl.com ...,neutral
"@rose_bayern @rtvslo #Israel is an artificial state that violates all international rights. Israel, with the help of the #UK, #USA and #France, was created in an internationally recognized country. They have #illegal nuclear weapons. It #terrorizes the region with the support of the USA and the EU",negative
Iran test-fires missiles amid nuclear tension http://tinyurl.com/yaq5p6n,neutral
"ItÃƒÂ¢Ã¢Â‚Â¬Ã¢Â„Â¢s disturbing to see people rush to condemn and destroy something like this, based only on rumors and cherry picked examples. 

Think of the power that Big Tech wields, completely unchecked.

ItÃƒÂ¢Ã¢Â‚Â¬Ã¢Â„Â¢s like handing nuclear warheads to frat boys. https://t.co/R7Oxw3HDSf",negative
@Egh60Grind He knows that everyone of our nuclear submarines is equal to the 6 th largest nuclear arsenal in the world. He knows attacking the US would be Suicide! They played the crazy man has weapons card with Sadam and he had nothing. 1/2,negative
"Nearly 50,000 people have signed a petition calling for a full council debate and vote on the plans for seismic testing in the Irish???€?????Sea. https://t.co/p9uWkCDFNL",neutral
"First time in print! 
New AVENGERS BACK TO BASICS, 30% off the cover price this week! 
We???â‚¬??re open 9-9 every Wednesday! 
#avengers #peterdavid #brianlevel #marvel #marvelcomics @ Nuclear???â‚¬?? https://t.co/cNruSz0CiT",positive
"""Moving on me as the world ends
This nuclear heat is a beautiful air
You might live to tell""",positive
???????Awaiting ConCourt???????s decision on Eskom???????s R5bn nuclear contract??????? ???????  Eskom and Westinghouse respond  https://t.co/2PmVQrlbbc,neutral
"just predicted ""February 2009"" on Iran Nuclear Deal at Predictify.com http://tinyurl.com/5uch9k",neutral
"The ""Photoshop-free"" style of life :)???€?????
Now, working with transactional analysis (looking at you, fellow #NLP-ers and beyond), is no easy thing to go about. Nor is it nuclear science; still, some good background works miracles! Like with this great, introd?????????????https://t.co/OYBJ7RaVHe",positive
Yahoo! News: US envoy to be in Asia for nuclear talks: officials (AFP) http://bit.ly/14YP8v,neutral
Nuclear Event - Asia - South Korea http://t.co/PdniFyfVr7,neutral
S.Korea Predicts More N.Korea Ballistic Missile Tests After Nuclear Test. https://t.co/Y7RNzt3l5Q https://t.co/vhqdonfAqi,neutral
"@SenSanders They canÃƒÂ¢Ã¢Â‚Â¬Ã¢Â„Â¢t say that they neve did no such thing after the fact that they just did.
They can kill off more people by using a DEW to do damage to the ozone than they could every kill off people by using Nuclear bombs
We are die like fly as I speak.",negative
Hopefully I don't get a crazy teacher that will show satellite imagery of N. Korea and Irans nuclear labs,negative
That crowd was nuclear hot. I hope it came through on TV.,positive
"@n8xdradio @KarlAlexPauls @EnergyJvd @transcendentfr2 @lukeweston @n8xdradio  As a health physicist IÃƒÂ¢Ã¢Â‚Â¬Ã¢Â„Â¢m also a fan of all things with radio waves and especially lasers. 
 
But on this topic, I disagree. Nuclear power is a safe and effective form of energy production as part of a greater solution to curb climate change.",positive
"Ã¢Â€ÂœFBI sought classified documents related to nuclear weapons during Mar-a-Lago search, according to The Washington PostÃ¢Â€Â 
https://t.co/kz2s7gePP6",neutral
RT @REK_FAM_BOSSMAN: RT @MAXVEENO_LAViSH: #REKFAM WE THE UN$TOPPA6LE 6iTCH ! Wrd Fuck Dese Niggas Dey Gon Need A Nuclear Bomb To Stop Us,negative
@WhiteHouse Nasa could launch nuclear bombs into space to defend ... http://t.co/xS5sAXCvB3 ÃƒÂ¢Ã¢Â‚Â¬Ã‚Â¦ Mail,neutral
"New BRONZE AGE SWAMP THING VOL 1, 30% off the cover price this week! 
#swampthing #bronzeage #lenwein #berniewrightson #dc #dccomics @ Nuclear Comics https://t.co/sDoaQIyw1E",positive
#Nuclear_Blast #German on 1 Fav Source+1 other like Wsj-German Nuclear Plants Get New Lease http://bit.ly/26iMEj,neutral
This important report has been professionally converted for accurat https://t.co/bGqbcOpGDH #Hacker #Cybersecurity https://t.co/DF3Va2AqX3,positive
"@dabubbletrouble @bumblebuzz6 @DrEricDing Of course, duh. Avoiding being nuked is now my personal responsibility. If I don??????????????t get my butt out of New York City, that??????????????s my choice and my responsibility. If government won??????????????t take responsibility for preventing nuclear war, we no longer need government.",negative
"@jdhlax42 @babbles @UnimpressedTX @mrbongostx @JaredLPatterson Again, you are arguing that wind is ok because we know it will fail when needed, and as such we should build capacity 50-100x whatÃ¢Â€Â™s needed as a fail safeÃ¢Â€Â¦

Instead of building 1.1x the capacity in NG and Nuclear.",positive
Xcel Energy Fast-Forwards Minnesota Coal Plant Closures but Extends Nuclear Window https://t.co/RuQ4ykfn25,neutral
"The day marks country???????s achievement to make its way to the global nuclear club ...
#28MayYoumeTakbeer2022",neutral
"I liked a @YouTube video from @albi_sidearms http://t.co/EgDNVHrnMB GTA 5 Online - SideArms Wide Open, Nuclear Tire, and other Funny",positive
"I'm at Brunswick Nuclear Plant in Southport, NC https://t.co/1sslRdzp0I",neutral
"The wrong subs for a start. Soryu didn't need complete redesign from nuclear. 
ANZUS is dead (obsolete anyway) but LNP &amp; ""friends"" will bang the nationalist/Red menace &amp; idiots will follow https://t.co/zcRS2XZy7A",negative
"Indian nuclear power plant refutes major cyber attack rumors, says all critical systems ???????air-gapped &amp; impossible to hack??????? https://t.co/tnV6eE2lF8",negative
Trump to announce Iran nuclear deal decision Tuesday https://t.co/EHZIGbDCjh via @nbcnews,neutral
A world without nuclear weapons would be less stable and more dangerous for all of us .. Margaret Thatcher .. #quote ..,neutral
@irgarner It's understandable they're mad...they live and swim in industrial &amp; nuclear waste! ????????????????... ???????????????????????????????????????????????????????????€????????????????€????????????????€????????????????????????????????????? (Per @VICENews),negative
"Every country, every continent is now very vulnerable to a hostile enemy, this is scary times, unlike this virus, any type of nuclear attack, there is no stay in place, lock down, its lean forward, place your head between your legs kiss your ass goodbye",negative
"@billshortenmp You can only fund you freams when exports and turnover are improved.
Some ideas for you
1) increase infrastructure 
2) increase immigration 
3) allow uranium mining
4)increase coal and gas exports
5) build nuclear power plants
6) raise gst to12%
7) reduce personal and company tax",neutral
Mutant Butterflies Linked to Fukushima Nuclear Disaster http://t.co/k5eai6bG,neutral
News by Yahoo Japan nuke plant releases tested ground water: TOKYO (AP) ??????? Japan's crippled nuclear power plant...  http://t.co/rfoVUciQTE,neutral
@Vlambeer @pietepiet @jwaaaap @justinchans Just caught a brilliant Nuclear Throne cameo in Hotline Miami 2! (???????????€????€????????????????????????€????€????€?????????)????????? http://t.co/WSGUoWGaiF,positive
"Why I want a healthy conversation about nuclear??????????????s role in our secure, affordable &amp; clean energy system https://t.co/TT5Z59Nm1v #nuclear16",positive
"With today's discussions at #COP26 on accelerating the global transition to clean energy, construction continues @hinkleypointc in Somerset, which will be a vital component of the UK's clean energy mix. Carbon net-zero needs nuclear. https://t.co/OXJI9EV4JH #HPC #CleanGrowthHotSW",positive
"As the enormity of the climate crisis sinks in and the hoped-for carbon savings from renewables donÃ¢Â€Â™t add up, nuclear can become the new green. 

Via @nytopinion 

(5)

#Uranium 
#NuclearPower https://t.co/xY7JZMuMEC",negative
That's totally one of the funniest and most enjoyable Let's play of Nuclear Blaze I've seen so far! ?????????? Thanks @DanVideoNinja https://t.co/qf9zkVskYH,positive
France Closing Its Oldest Nuclear Plant Spurs Debate???€?????on Energy  https://t.co/2s2LurZp67,neutral
"ÃƒÂ¯Ã‚Â¿Ã‚Â¼
ÃƒÂ°Ã…Â¸Ã…Â¡Ã‚Â¨#BREAKING: Portable nuclear device containing radioactive material goes missing  

ÃƒÂ°Ã…Â¸Ã¢Â€ÂœÃ…Â’#Pennsylvania l #PA

A portable nuclear device containing radioactive material that could be a danger to public safety has gone missing Authorities are currently searching for the device https://t.co/EWFjzoCsgQ",negative
Why do folks say they want #nuclear energy when no1 has come up w/answer to problem of waste disposal. (Just bury 4 future generation?),negative
"@coalfang ""and then the nuclear bomb went off and OWNED everyone in the surrounding area, like axel did after he had mexican food. XD""",neutral
