qprime,mdot,Tin,R,L,Cp,k,T
42442.9242641667,213.26757907537274,573.1523179619282,0.004958176407500469,3.820139836590071,4.230412102240565,1.0027789270893637,1464.2637723426403
37484.83160495937,183.96577510211486,573.1534865165139,0.005040371348081234,3.5329617020733144,4.141796153822853,1.0467886463423577,1408.7285644442723
41553.58616576248,199.98545524619115,573.151680660383,0.004787886318084782,3.7900447946324123,4.179223849273375,0.9730722414292864,1406.7184607205224
40294.52793695643,200.32337201655946,573.1541197342724,0.004978226698167229,3.705065377597148,4.125579423976032,1.028076433470142,1452.2816966433338
40652.56631865489,201.9506181040233,573.1546488940946,0.005610778902664076,3.6422780888725015,4.125045624550125,0.9513215761254007,1346.4459313324428
38377.483283015776,194.4539717537893,573.1540558779731,0.005086692817253873,3.638493608283892,4.174797452187818,0.9959802707720999,1354.360739062291
43734.80409108988,216.63643850901767,573.1519164798154,0.00513301054931497,3.274837007352934,4.081173210678817,0.967702616041269,1428.4409938170656
36621.42351082899,188.77738672777818,573.1534427744083,0.004621128539082339,3.8062019686068074,4.229572884900124,1.012146753677534,1339.817747817484
39123.83513254766,199.83532595220004,573.1530520356546,0.005113549102054344,3.6214566856702373,4.006162219414627,0.9993027606357139,1380.0699231709482
41785.17362355429,197.5017641026746,573.1538321933464,0.004990704348891589,3.7126306195662013,4.072336840677715,1.0215176720585832,1487.807040650957
43635.828882016576,188.35629444604527,573.1536836659719,0.005298667288673406,3.827944230306054,4.226076449350136,0.9662496209223606,1461.790493686825
43020.114499303396,206.07788384404074,573.1500716946676,0.0049348769026330876,3.5232761407068365,4.270142665693921,0.9595691293210799,1408.1299013570435
40654.25409745447,201.7161149517282,573.1545976532707,0.004931105731051605,3.6798878683874987,4.256888722970597,0.9496209488709253,1341.4113352612044
39045.40677213931,211.78717188971785,573.1513023868251,0.005339252022122352,3.8536750506246964,4.207026934623921,1.007003802679722,1382.8400141189295
43212.979560234446,194.09265301341867,573.1505983719725,0.004828299360380631,3.722690543672487,4.169500990363788,1.008262540071354,1506.4659106866409
41543.50571518658,212.4956185350348,573.1540096552026,0.005543249547616503,3.84802360811985,4.217683565505944,0.9977111228836916,1434.6587238594598
