{1009_(2.4.1)},{1011_(2.4.2)},{1010_(2.4.3)},{1014_(2.4.4)},{1015_(2.4.5)},{1036_(2.4.6)},{1001_(2.4.7)},{1028_(2.4.8)},{1029_(2.4.9)},{1013_(2.4.10)},{1029_(2.4.11)},{1004_(2.4.12)},{1006_(2.4.13)},{1000_(2.4.14)},{1002_(2.4.15)},{1003_(2.4.16)},{SubCriticalFlow_(2.3.1)},{2fCriticalFlow_(2.3.2)},{BreakOpening_(2.3.3)},{ACC-C-liqVol_(2.3.4)},{ACC-H-liqVol_(2.3.5)},{ACC-C-GPress_(2.3.6)},{ACC-H-GPress_(2.3.7)},{ACC-Temp_(2.3.8)},{ACC-C-ILRes_(2.3.9)},{ACC-H-ILRes_(2.3.10)},{CorePower_(2.2.1)},{PSPressure_(2.2.2)},{InitLoopFlowA_(2.2.3)},{InitLoopFlowB_(2.2.4)},{SSPressureAB_(2.2.5)},{SGFeedTempAB_(2.2.6)},{CCFL_(2.1.1)},{CCFL_(2.1.2)},{CCFL_(2.1.3)},{CCFL_(2.1.4)},{CCFL_(2.1.5)},{CCFL_(2.1.6)},{CoreUppHSFA_(2.1.7)},{CoreLLtoHLD_(2.1.8)}
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.9423332,1.001505303,-43.64135525,0.834682503,1.064717533,0.879843303,0.978091679,1.024975783,1.044025634,0.935302501,0.991948297,1.01240777,0.967525687,1.008771258,1.136594206,1.034956259,1.155818007,1.071105294,0.868207875,1.131353793,1.416976597,0.998649223,0.998072591,0.992498509,0.959713364,0.871520916,0.993421541,0.992601856,1.013288026,0.99987168,0.999427117,0.981912131,1.402544723,1.207671774,1.034866983,1.232741861,1.032872429,1.451426692,1.038852017,0.997368731
1.111083714,0.933963929,17.39955423,1.013530424,1.088126769,1.062908418,1.048236326,1.038500547,0.924646516,0.986243333,1.156670655,1.022209282,0.998661811,1.104590666,0.876061186,0.90577262,0.980593403,1.148089965,0.896272164,0.629865557,8.751176537,1.003009362,1.009742476,1.005055061,1.184899995,1.126803028,0.999716087,1.000540675,1.005060462,1.008361677,0.992707498,1.01627977,1.45779786,1.226472251,0.979467754,1.490183097,0.991755198,1.118071531,1.010352975,0.993136348
1.026288592,1.012699307,8.694027142,1.034872229,0.964601531,0.837672916,1.126329553,1.170099298,1.051863435,1.081434648,0.985733553,1.090990113,0.959822534,1.024124683,1.075152849,1.11679466,1.026556193,1.028715511,0.731554425,1.401510428,16.29737615,1.005297181,0.99489151,0.986247748,0.919691149,0.806603077,1.002928515,0.982487392,1.000589328,0.998206612,1.01120619,0.996789911,1.49390542,1.547771295,1.011647692,1.97281424,1.058103237,1.426261581,0.962004322,1.058209001
0.932548176,1.077427963,-40.16191604,1.092827336,1.097687591,1.042415286,0.97277379,0.986092726,0.916923195,1.126508609,1.104450862,1.098713729,1.106255913,1.042487144,0.996576442,1.009639412,0.929285146,1.142174853,1.011665773,1.242914229,1.212261899,1.003729336,0.992877022,0.980103739,0.868858719,1.08168471,1.00612376,0.985237476,0.999289133,0.973531631,0.999624603,0.98546522,1.06464432,1.087558258,0.966220026,1.515945286,1.00884732,1.518161239,0.952018133,1.001326492
0.800387098,1.063028488,9.841917207,0.90937281,1.189868389,0.891676237,0.88777484,1.027537179,1.069129811,1.018040041,1.117088474,1.05086058,1.017922571,0.991750667,0.959842902,0.966073532,0.853404165,1.177543653,0.840504939,1.171097739,15.27068527,0.993723026,0.994772348,0.982191611,0.822961127,0.922648938,0.995945951,1.016606323,0.975505164,1.003957783,1.00766759,0.997255915,1.148547141,1.240156764,1.080263301,1.32075756,1.097054151,1.199687174,1.005847204,1.024661174
1.054947386,1.020467592,47.58744648,0.898803067,1.008772389,1.122334146,0.914270276,1.110092762,1.0149454,1.097651336,1.003859837,0.966148834,1.11246695,0.942205749,1.069449514,1.1359589,0.984336673,1.182729668,0.987325977,0.860486587,2.067025767,0.998670774,1.003460726,0.985548115,0.948787605,0.868515078,0.98693433,1.001981337,1.015619148,1.011439328,0.984879459,1.003859223,1.082254371,1.665399245,0.915046862,1.458616229,1.072353507,1.526707803,0.953496045,1.038173268
1.07536131,1.159403569,-33.90512431,1.053500126,1.110183106,0.94098335,1.025447346,1.067756178,0.959608932,0.912012806,0.960061746,1.125318168,0.975569681,1.025689768,1.018425039,0.98715722,0.825267065,1.019917755,0.786846523,1.200794813,3.556397785,0.992470062,0.999185786,0.974961293,1.15302858,0.924182754,0.989626044,1.006576597,0.978101404,0.997661208,1.006724695,0.991871297,0.982840203,1.802014417,1.007638177,1.047503104,0.922558916,1.543721105,0.994906627,1.00403314
1.139264563,1.129477873,29.11298137,0.997467578,0.978922226,0.964525429,0.998794189,1.04621708,0.858037402,1.049622868,1.018181666,1.015031271,1.071671714,1.099747782,1.153625784,0.930128821,0.844689883,1.152196463,0.976475565,1.367648738,5.445462703,1.002620947,0.99635735,1.001054015,1.138696149,1.164367036,1.014278403,0.999710256,1.004518931,0.990005291,0.996636894,0.982529762,1.434593202,1.728101769,0.963543413,1.419431515,0.987153382,1.062171896,0.989652506,0.96621452
1.089694027,0.915174291,17.65116256,0.860135047,0.945675918,0.896050556,1.028723536,0.975345625,0.94733075,0.925461117,0.971852385,1.006941117,1.057796751,0.880808309,1.011540084,0.949033809,1.003477654,1.080673549,0.83447819,0.980438768,10.34763472,1.004794149,0.996715207,1.013378376,1.057741826,1.133359639,0.993782346,0.993702901,1.021211413,0.987805851,1.000093843,0.99019526,0.966225068,1.353125617,1.081766835,2.731275423,0.915750427,1.44709906,1.0453646,0.929370566
