fission1,capture1,scat11,scat12,fission2,capture2,scat21,scat22,k
6.44620E-03,9.24782E-03,4.82483E-01,1.49727E-02,1.30007E-01,8.08356E-02,1.50595E-03,1.12546E+00,1.256376
6.35893E-03,9.34703E-03,4.90558E-01,1.53628E-02,1.28811E-01,8.10484E-02,1.49675E-03,1.12616E+00,1.241534
6.46740E-03,9.25333E-03,4.86784E-01,1.51976E-02,1.29465E-01,8.07623E-02,1.49345E-03,1.12423E+00,1.256988
6.47906E-03,9.25848E-03,4.92895E-01,1.53455E-02,1.30903E-01,8.14782E-02,1.51646E-03,1.13075E+00,1.261442
6.43139E-03,9.24804E-03,4.88249E-01,1.52156E-02,1.29757E-01,8.11293E-02,1.50581E-03,1.12731E+00,1.253744
6.52332E-03,9.26498E-03,4.85591E-01,1.51895E-02,1.30076E-01,8.09192E-02,1.49696E-03,1.12454E+00,1.261324
6.45439E-03,9.50086E-03,4.97115E-01,1.54612E-02,1.29994E-01,8.11391E-02,1.51580E-03,1.12709E+00,1.246886
6.43479E-03,9.44569E-03,4.89173E-01,1.52685E-02,1.30348E-01,8.10494E-02,1.48712E-03,1.12089E+00,1.249954
6.42320E-03,9.46705E-03,4.92883E-01,1.55234E-02,1.30275E-01,8.09968E-02,1.48711E-03,1.12412E+00,1.25212
6.40627E-03,9.39894E-03,4.93765E-01,1.54756E-02,1.30507E-01,8.08332E-02,1.48865E-03,1.12764E+00,1.258008
6.45164E-03,9.34682E-03,4.91825E-01,1.53976E-02,1.30497E-01,8.12002E-02,1.51184E-03,1.12620E+00,1.256793
6.38565E-03,9.42871E-03,4.96280E-01,1.54915E-02,1.29640E-01,8.10007E-02,1.51729E-03,1.13051E+00,1.247149
6.41698E-03,9.32927E-03,4.90295E-01,1.54083E-02,1.29913E-01,8.11065E-02,1.48890E-03,1.12495E+00,1.253193
6.38939E-03,9.39680E-03,4.93526E-01,1.53704E-02,1.29625E-01,8.08103E-02,1.50687E-03,1.13158E+00,1.249416
6.42614E-03,9.50786E-03,4.94402E-01,1.55124E-02,1.30124E-01,8.09372E-02,1.50554E-03,1.12623E+00,1.24956
6.42306E-03,9.41051E-03,4.92592E-01,1.54180E-02,1.29614E-01,8.11190E-02,1.50240E-03,1.12498E+00,1.246953
6.48389E-03,9.40136E-03,4.93384E-01,1.54313E-02,1.29832E-01,8.13775E-02,1.51115E-03,1.12924E+00,1.248573
6.46957E-03,9.43682E-03,4.95870E-01,1.55205E-02,1.31377E-01,8.12251E-02,1.50979E-03,1.12806E+00,1.261022
6.38928E-03,9.51507E-03,4.98776E-01,1.55449E-02,1.30131E-01,8.10283E-02,1.52238E-03,1.13502E+00,1.247053
6.41894E-03,9.40106E-03,4.90456E-01,1.52575E-02,1.29975E-01,8.09854E-02,1.49993E-03,1.12577E+00,1.249361
6.42501E-03,9.38035E-03,4.94223E-01,1.55435E-02,1.29801E-01,8.08871E-02,1.50159E-03,1.12682E+00,1.254552
6.31679E-03,9.50007E-03,4.99815E-01,1.57751E-02,1.30061E-01,8.10003E-02,1.50434E-03,1.12728E+00,1.248017
6.50751E-03,9.26037E-03,4.84113E-01,1.50425E-02,1.29897E-01,8.10911E-02,1.50670E-03,1.12457E+00,1.255355
6.36772E-03,9.35355E-03,4.92073E-01,1.53377E-02,1.30537E-01,8.10642E-02,1.50647E-03,1.12920E+00,1.254128
6.34840E-03,9.44020E-03,4.95108E-01,1.54296E-02,1.29080E-01,8.12786E-02,1.51405E-03,1.12978E+00,1.23656
6.28731E-03,9.48313E-03,4.95444E-01,1.56927E-02,1.29871E-01,8.11985E-02,1.49794E-03,1.12130E+00,1.242655
6.40629E-03,9.36803E-03,4.90118E-01,1.55855E-02,1.30942E-01,8.10646E-02,1.47755E-03,1.12080E+00,1.261658
6.39258E-03,9.35639E-03,4.87613E-01,1.52603E-02,1.29810E-01,8.11319E-02,1.49446E-03,1.12087E+00,1.247586
6.42178E-03,9.46491E-03,4.95388E-01,1.56558E-02,1.29380E-01,8.09809E-02,1.50035E-03,1.12802E+00,1.24736
6.49225E-03,9.17752E-03,4.83122E-01,1.49790E-02,1.30357E-01,8.11109E-02,1.49510E-03,1.12693E+00,1.261437
6.58137E-03,9.22674E-03,4.82048E-01,1.48068E-02,1.28768E-01,8.08967E-02,1.51364E-03,1.12883E+00,1.250629
6.44820E-03,9.34993E-03,4.89351E-01,1.51380E-02,1.30252E-01,8.10955E-02,1.51273E-03,1.12827E+00,1.25223
6.39594E-03,9.43831E-03,4.95017E-01,1.55732E-02,1.29239E-01,8.08848E-02,1.49983E-03,1.12642E+00,1.246598
6.29549E-03,9.54791E-03,5.02132E-01,1.57659E-02,1.30349E-01,8.09182E-02,1.51225E-03,1.13092E+00,1.247814
6.43538E-03,9.40358E-03,4.96515E-01,1.55843E-02,1.28768E-01,8.09328E-02,1.50859E-03,1.12746E+00,1.245893
6.39582E-03,9.46329E-03,4.92365E-01,1.53739E-02,1.28734E-01,8.11530E-02,1.50641E-03,1.12456E+00,1.235478
6.43553E-03,9.40056E-03,4.92273E-01,1.54129E-02,1.29233E-01,8.11755E-02,1.50352E-03,1.12702E+00,1.244307
6.44140E-03,9.32512E-03,4.86860E-01,1.53226E-02,1.29536E-01,8.11264E-02,1.49329E-03,1.12305E+00,1.250055
6.43873E-03,9.29311E-03,4.94565E-01,1.53942E-02,1.30210E-01,8.11270E-02,1.50822E-03,1.13080E+00,1.257704
6.38173E-03,9.48067E-03,4.96884E-01,1.56376E-02,1.30301E-01,8.13166E-02,1.50572E-03,1.12869E+00,1.247637
6.31426E-03,9.35347E-03,4.96630E-01,1.56113E-02,1.29381E-01,8.09895E-02,1.50391E-03,1.12795E+00,1.247919
6.35190E-03,9.49472E-03,4.92294E-01,1.54945E-02,1.29786E-01,8.12444E-02,1.49459E-03,1.12256E+00,1.240686
6.45059E-03,9.34067E-03,4.87410E-01,1.53769E-02,1.30039E-01,8.04681E-02,1.48529E-03,1.12379E+00,1.262303
6.48234E-03,9.38691E-03,4.97840E-01,1.56094E-02,1.30592E-01,8.08836E-02,1.51054E-03,1.13371E+00,1.263555
6.43592E-03,9.32317E-03,4.92257E-01,1.54815E-02,1.30299E-01,8.11209E-02,1.51058E-03,1.12872E+00,1.25801
6.34944E-03,9.33758E-03,4.96203E-01,1.55677E-02,1.29404E-01,8.08873E-02,1.49918E-03,1.12683E+00,1.250985
6.34980E-03,9.46114E-03,4.96844E-01,1.56234E-02,1.31145E-01,8.08441E-02,1.49912E-03,1.12725E+00,1.259375
6.37033E-03,9.45231E-03,4.95189E-01,1.54877E-02,1.29044E-01,8.12035E-02,1.50824E-03,1.12560E+00,1.238296
6.46275E-03,9.22833E-03,4.82918E-01,1.50424E-02,1.29864E-01,8.12000E-02,1.49717E-03,1.12286E+00,1.253612
6.50587E-03,9.31805E-03,4.91300E-01,1.51479E-02,1.29564E-01,8.09335E-02,1.51504E-03,1.13166E+00,1.253108
6.40741E-03,9.40273E-03,4.96543E-01,1.55057E-02,1.31075E-01,8.12343E-02,1.51438E-03,1.12778E+00,1.257617
6.41357E-03,9.46164E-03,4.94466E-01,1.55644E-02,1.29862E-01,8.09705E-02,1.50477E-03,1.12562E+00,1.249725
6.39544E-03,9.46468E-03,4.99755E-01,1.58335E-02,1.31137E-01,8.04624E-02,1.48988E-03,1.12646E+00,1.268746
6.40918E-03,9.24123E-03,4.84891E-01,1.50601E-02,1.31053E-01,8.08483E-02,1.48935E-03,1.12594E+00,1.264307
6.42047E-03,9.34848E-03,4.92706E-01,1.54701E-02,1.30232E-01,8.09365E-02,1.50731E-03,1.12880E+00,1.257646
6.47015E-03,9.26800E-03,4.89708E-01,1.52697E-02,1.30775E-01,8.06868E-02,1.50797E-03,1.12904E+00,1.268254
6.46339E-03,9.38177E-03,4.84577E-01,1.51323E-02,1.30336E-01,8.12085E-02,1.49776E-03,1.12291E+00,1.250424
6.40458E-03,9.34562E-03,4.98925E-01,1.54982E-02,1.30697E-01,8.09188E-02,1.52473E-03,1.13285E+00,1.261284
6.34600E-03,9.47853E-03,4.97477E-01,1.56127E-02,1.30235E-01,8.13594E-02,1.51442E-03,1.12907E+00,1.244907
6.34068E-03,9.40957E-03,5.01174E-01,1.58253E-02,1.29691E-01,8.06484E-02,1.50214E-03,1.12853E+00,1.255706
6.43674E-03,9.28834E-03,4.84953E-01,1.50128E-02,1.30784E-01,8.11143E-02,1.50304E-03,1.12866E+00,1.256965
6.43263E-03,9.30292E-03,4.91916E-01,1.53971E-02,1.29586E-01,8.08619E-02,1.50456E-03,1.12738E+00,1.255456
6.48182E-03,9.37429E-03,4.87296E-01,1.54026E-02,1.30462E-01,8.11786E-02,1.48729E-03,1.12122E+00,1.256735
6.35961E-03,9.50487E-03,4.95297E-01,1.55831E-02,1.29802E-01,8.09079E-02,1.50350E-03,1.12666E+00,1.245938
6.33952E-03,9.48477E-03,4.90014E-01,1.53912E-02,1.29348E-01,8.11671E-02,1.49999E-03,1.12242E+00,1.236832
6.39910E-03,9.50087E-03,4.95041E-01,1.55056E-02,1.30403E-01,8.12841E-02,1.50346E-03,1.12751E+00,1.246629
6.34117E-03,9.43098E-03,4.89669E-01,1.52725E-02,1.29706E-01,8.13754E-02,1.51133E-03,1.12755E+00,1.238112
6.42486E-03,9.52788E-03,4.99637E-01,1.57482E-02,1.29524E-01,8.10687E-02,1.50314E-03,1.12725E+00,1.245642
6.47189E-03,9.39977E-03,4.95811E-01,1.53875E-02,1.29513E-01,8.09219E-02,1.51465E-03,1.12938E+00,1.250658
6.44207E-03,9.38892E-03,4.93426E-01,1.53887E-02,1.30544E-01,8.10822E-02,1.51081E-03,1.12898E+00,1.255928
6.40519E-03,9.38531E-03,4.96170E-01,1.55141E-02,1.29607E-01,8.10361E-02,1.51853E-03,1.13054E+00,1.249782
6.36103E-03,9.34812E-03,4.91374E-01,1.54156E-02,1.29323E-01,8.06027E-02,1.50614E-03,1.13007E+00,1.251644
6.46721E-03,9.47381E-03,4.95981E-01,1.56482E-02,1.29780E-01,8.10480E-02,1.51491E-03,1.12900E+00,1.250822
6.36043E-03,9.32519E-03,4.92826E-01,1.54820E-02,1.28838E-01,8.06651E-02,1.49357E-03,1.12663E+00,1.249255
6.40918E-03,9.51465E-03,5.03234E-01,1.58206E-02,1.30993E-01,8.11955E-02,1.51481E-03,1.12793E+00,1.256322
6.42849E-03,9.23408E-03,4.89308E-01,1.54010E-02,1.30074E-01,8.09491E-02,1.49895E-03,1.12486E+00,1.261579
6.37670E-03,9.35255E-03,4.92494E-01,1.54750E-02,1.29300E-01,8.10158E-02,1.49745E-03,1.12499E+00,1.247683
6.39415E-03,9.34903E-03,4.94704E-01,1.56059E-02,1.30414E-01,8.10214E-02,1.50111E-03,1.12617E+00,1.258835
6.47805E-03,9.24611E-03,4.86598E-01,1.51510E-02,1.30857E-01,8.12371E-02,1.50606E-03,1.12710E+00,1.261913
6.36467E-03,9.40969E-03,4.97036E-01,1.55339E-02,1.31565E-01,8.12984E-02,1.51451E-03,1.13043E+00,1.2589
6.33878E-03,9.50171E-03,4.97419E-01,1.56174E-02,1.29430E-01,8.12081E-02,1.51643E-03,1.12736E+00,1.239214
6.46824E-03,9.25291E-03,4.89779E-01,1.53321E-02,1.29798E-01,8.08006E-02,1.49779E-03,1.12710E+00,1.261014
6.40358E-03,9.45394E-03,4.97902E-01,1.56239E-02,1.30127E-01,8.07737E-02,1.50347E-03,1.12733E+00,1.254967
6.43478E-03,9.41957E-03,4.95664E-01,1.54070E-02,1.31231E-01,8.12391E-02,1.52216E-03,1.13102E+00,1.257579
6.43601E-03,9.29164E-03,4.90623E-01,1.54192E-02,1.30361E-01,8.10095E-02,1.50375E-03,1.12494E+00,1.260589
6.33960E-03,9.48731E-03,4.98409E-01,1.58765E-02,1.30394E-01,8.12773E-02,1.49932E-03,1.12288E+00,1.250147
6.34725E-03,9.61892E-03,4.97274E-01,1.55853E-02,1.29736E-01,8.11426E-02,1.50556E-03,1.12708E+00,1.236429
6.39542E-03,9.37950E-03,4.94393E-01,1.54767E-02,1.28959E-01,8.09587E-02,1.50728E-03,1.12531E+00,1.245135
6.36376E-03,9.53631E-03,5.00546E-01,1.57472E-02,1.30405E-01,8.13615E-02,1.51187E-03,1.12992E+00,1.245885
6.36473E-03,9.27295E-03,4.86929E-01,1.52741E-02,1.29756E-01,8.12069E-02,1.49547E-03,1.12295E+00,1.249629
6.38593E-03,9.33796E-03,4.92615E-01,1.54367E-02,1.29838E-01,8.07588E-02,1.50111E-03,1.12680E+00,1.255488
6.51452E-03,9.25293E-03,4.81743E-01,1.49696E-02,1.29417E-01,8.07447E-02,1.48303E-03,1.12414E+00,1.255597
6.32107E-03,9.35962E-03,4.97968E-01,1.57210E-02,1.29983E-01,8.08837E-02,1.50272E-03,1.12601E+00,1.255322
6.40171E-03,9.48887E-03,4.99347E-01,1.56779E-02,1.30933E-01,8.09244E-02,1.50789E-03,1.12840E+00,1.258202
6.45648E-03,9.36817E-03,4.90376E-01,1.52576E-02,1.30369E-01,8.10752E-02,1.50502E-03,1.12717E+00,1.254477
6.53381E-03,9.28082E-03,4.87152E-01,1.52534E-02,1.29190E-01,8.07302E-02,1.49773E-03,1.12529E+00,1.257369
6.47445E-03,9.35101E-03,4.93808E-01,1.53725E-02,1.29760E-01,8.10129E-02,1.51328E-03,1.13153E+00,1.253813
6.25158E-03,9.50716E-03,5.03104E-01,1.57936E-02,1.29561E-01,8.08685E-02,1.51047E-03,1.13110E+00,1.243082
