Sentence #,Word,Tag
1,Members,GENERAL
,lives,GENERAL
,of,GENERAL
,a,GENERAL
,prestigious,GENERAL
,research,GENERAL
,unit,GENERAL
,at,GENERAL
,Google,GENERAL
,have,GENERAL
,sent,GENERAL
,a,GENERAL
,letter,GENERAL
,to,GENERAL
,the,GENERAL
,company,GENERAL
,chief,GENERAL
,executive,GENERAL
,demanding,GENERAL
,that,GENERAL
,ousted,GENERAL
,artificial,GENERAL
,intelligence,GENERAL
,researcher,GENERAL
,Timnit,GENERAL
,Gebru,GENERAL
,be,GENERAL
,reinstated,GENERAL
,.,GENERAL
2,Gebru,GENERAL
,who,GENERAL
,studies,GENERAL
,the,GENERAL
,ethics,DEI
,of,GENERAL
,AI,GENERAL
,and,GENERAL
,was,GENERAL
,one,GENERAL
,of,GENERAL
,the,GENERAL
,few,GENERAL
,Black,DEI
,research,GENERAL
,scientists,GENERAL
,at,GENERAL
,Google,GENERAL
,says,GENERAL
,she,GENERAL
,was,GENERAL
,unexpectedly,GENERAL
,fired,GENERAL
,after,GENERAL
,a,GENERAL
,dispute,GENERAL
,over,GENERAL
,an,GENERAL
,academic,GENERAL
,paper,GENERAL
,and,GENERAL
,months,GENERAL
,of,GENERAL
,speaking,GENERAL
,out,GENERAL
,about,GENERAL
,the,GENERAL
,need,GENERAL
,for,GENERAL
,more,GENERAL
,women,DEI
,and,GENERAL
,people,GENERAL
,of,GENERAL
,color,BIAS
,at,GENERAL
,the,GENERAL
,tech,GENERAL
,giant,GENERAL
,.,GENERAL
3,In,GENERAL
,a,GENERAL
,letter,GENERAL
,sent,GENERAL
,on,GENERAL
,Wednesday,GENERAL
,by,GENERAL
,members,GENERAL
,of,GENERAL
,Google,GENERAL
,Ethical,DEI
,AI,GENERAL
,team,GENERAL
,to,GENERAL
,CEO,GENERAL
,Sundar,GENERAL
,Pichai,GENERAL
,Gebru,GENERAL
,former,GENERAL
,colleagues,GENERAL
,ask,GENERAL
,that,GENERAL
,she,GENERAL
,be,GENERAL
,rehired,GENERAL
,and,GENERAL
,promoted,GENERAL
,among,GENERAL
,a,GENERAL
,host,GENERAL
,of,GENERAL
,other,GENERAL
,demands,GENERAL
,according,GENERAL
,to,GENERAL
,a,GENERAL
,copy,GENERAL
,of,GENERAL
,the,GENERAL
,note,GENERAL
,obtained,GENERAL
,by,GENERAL
,NPR,GENERAL
,that,GENERAL
,was,GENERAL
,first,GENERAL
,reported,GENERAL
,by,GENERAL
,Bloomberg,GENERAL
,.,GENERAL
4,TECHNOLOGY,GENERAL
,Google,GENERAL
,Employees,GENERAL
,Call,GENERAL
,Black,DEI
,Scientist,GENERAL
,Ouster,GENERAL
,Research,GENERAL
,Offering,GENERAL
,Timnit,GENERAL
,her,GENERAL
,position,GENERAL
,back,GENERAL
,at,GENERAL
,a,GENERAL
,higher,GENERAL
,level,GENERAL
,would,GENERAL
,go,GENERAL
,a,GENERAL
,long,GENERAL
,way,GENERAL
,to,GENERAL
,help,GENERAL
,trust,GENERAL
,and,GENERAL
,rebuild,GENERAL
,our,GENERAL
,team,GENERAL
,environment,GENERAL
,reads,GENERAL
,the,GENERAL
,letter,GENERAL
,sent,GENERAL
,by,GENERAL
,Google,GENERAL
,employee,GENERAL
,Alex,GENERAL
,Hanna,GENERAL
,on,GENERAL
,behalf,GENERAL
,of,GENERAL
,the,GENERAL
,Ethical,DEI
,AI,GENERAL
,team,GENERAL
,which,GENERAL
,Gebru,GENERAL
,before,GENERAL
,she,GENERAL
,was,GENERAL
,forced,BIAS
,out,GENERAL
,.,GENERAL
5,The,GENERAL
,removal,GENERAL
,of,GENERAL
,Timnit,GENERAL
,has,GENERAL
,had,GENERAL
,a,GENERAL
,demoralizing,GENERAL
,effect,GENERAL
,on,GENERAL
,the,GENERAL
,whole,GENERAL
,of,GENERAL
,our,GENERAL
,team,GENERAL
,.,GENERAL
6,Since,GENERAL
,Gebru,GENERAL
,termination,GENERAL
,earlier,GENERAL
,this,GENERAL
,month,GENERAL
,more,GENERAL
,than,GENERAL
,Googlers,GENERAL
,have,GENERAL
,signed,GENERAL
,an,GENERAL
,open,GENERAL
,letter,GENERAL
,expressing,GENERAL
,dismay,GENERAL
,over,GENERAL
,the,GENERAL
,way,GENERAL
,Gebru,GENERAL
,exited,GENERAL
,the,GENERAL
,company,GENERAL
,and,GENERAL
,asking,GENERAL
,executives,GENERAL
,for,GENERAL
,a,GENERAL
,full,GENERAL
,explanation,GENERAL
,of,GENERAL
,what,GENERAL
,prompted,GENERAL
,her,GENERAL
,dismissal,GENERAL
,.,GENERAL
